rank,prev_scores_taken,change_threshold,used_by_app,changes_caught_percent,false_change_percent,combined_score_percent
1,10,1.5,True,91.25,2.0,94.62
2,10,1.0,False,100.0,13.25,93.38
3,10,0.5,False,100.0,46.75,76.62
4,10,2.0,False,50.5,0.0,75.25
5,10,2.5,False,14.12,0.0,57.06
6,3,2.5,False,0.0,0.0,50.0
7,5,2.5,False,0.0,0.0,50.0
8,3,2.0,False,0.0,0.25,49.88
9,5,2.0,False,0.0,0.5,49.75
10,5,1.5,False,1.38,2.0,49.69
11,5,1.0,False,10.12,13.75,48.19
12,3,1.5,False,0.0,3.75,48.12
13,5,0.5,False,37.12,48.0,44.56
14,3,1.0,False,1.12,15.75,42.69
15,3,0.5,False,8.38,49.0,29.69
